subject_id,task_part,block_condition,block_order,task_block,trial_index,stimulus,cat_type,mean_cat_reward,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
3768,learning,2,3,furniture,315,images/bed6.png,bad,-3,3,0,1332,0,1,1,0
3768,learning,2,3,furniture,317,images/bed1.png,bad,-3,-7,0,1011,0,1,0,1
3768,learning,2,3,furniture,319,images/bed7.png,bad,-3,7,1,963,7,2,1,1
3768,learning,2,3,furniture,321,images/table6.png,good,6,-9,1,750,-9,1,0,0
3768,learning,2,3,furniture,323,images/bed6.png,bad,-3,3,0,863,0,2,1,0
3768,learning,2,3,furniture,325,images/sofa2.png,neutral,0,5,1,1768,5,1,1,1
3768,learning,2,3,furniture,327,images/sofa2.png,neutral,0,5,1,641,5,2,1,1
3768,learning,2,3,furniture,329,images/sofa1.png,neutral,0,2,1,725,2,1,1,1
3768,learning,2,3,furniture,331,images/sofa8.png,neutral,0,-8,1,1726,-8,1,0,0
3768,learning,2,3,furniture,333,images/table6.png,good,6,-9,0,1206,0,2,0,1
3768,learning,2,3,furniture,335,images/sofa8.png,neutral,0,-8,0,1030,0,2,0,1
3768,learning,2,3,furniture,337,images/bed7.png,bad,-3,7,1,935,7,3,1,1
3768,learning,2,3,furniture,339,images/sofa2.png,neutral,0,5,1,943,5,3,1,1
3768,learning,2,3,furniture,341,images/sofa8.png,neutral,0,-8,1,794,-8,3,0,0
3768,learning,2,3,furniture,343,images/table2.png,good,6,6,9,1196,-5,2,1,0
3768,learning,2,3,furniture,345,images/table6.png,good,6,-9,0,2372,0,3,0,1
3768,learning,2,3,furniture,347,images/bed7.png,bad,-3,7,1,1111,7,4,1,1
3768,learning,2,3,furniture,349,images/bed7.png,bad,-3,7,1,822,7,5,1,1
3768,learning,2,3,furniture,351,images/sofa1.png,neutral,0,2,0,744,0,2,1,0
3768,learning,2,3,furniture,353,images/table5.png,good,6,4,1,730,4,3,1,1
3768,learning,2,3,furniture,355,images/bed6.png,bad,-3,3,1,796,3,3,1,1
3768,learning,2,3,furniture,357,images/sofa1.png,neutral,0,2,1,854,2,3,1,1
3768,learning,2,3,furniture,359,images/sofa2.png,neutral,0,5,1,768,5,4,1,1
3768,learning,2,3,furniture,361,images/sofa2.png,neutral,0,5,1,569,5,5,1,1
3768,learning,2,3,furniture,363,images/table6.png,good,6,-9,0,1418,0,4,0,1
3768,learning,2,3,furniture,365,images/table5.png,good,6,4,1,2011,4,4,1,1
3768,learning,2,3,furniture,367,images/bed6.png,bad,-3,3,1,1469,3,4,1,1
3768,learning,2,3,furniture,369,images/bed1.png,bad,-3,-7,0,1627,0,2,0,1
3768,learning,2,3,furniture,371,images/table6.png,good,6,-9,0,836,0,5,0,1
3768,learning,2,3,furniture,373,images/sofa6.png,neutral,0,9,1,1422,9,1,1,1
3768,learning,2,3,furniture,375,images/sofa2.png,neutral,0,5,1,782,5,6,1,1
3768,learning,2,3,furniture,377,images/bed6.png,bad,-3,3,1,844,3,5,1,1
3768,learning,2,3,furniture,379,images/bed4.png,bad,-3,-2,1,1491,-2,1,0,0
3768,learning,2,3,furniture,381,images/bed7.png,bad,-3,7,1,850,7,6,1,1
3768,learning,2,3,furniture,383,images/table5.png,good,6,4,1,1049,4,5,1,1
3768,learning,2,3,furniture,385,images/sofa8.png,neutral,0,-8,0,1056,0,4,0,1
3768,learning,2,3,furniture,387,images/sofa8.png,neutral,0,-8,0,1256,0,5,0,1
3768,learning,2,3,furniture,389,images/table6.png,good,6,-9,0,879,0,6,0,1
3768,learning,2,3,furniture,391,images/table8.png,good,6,-3,0,2088,0,1,0,1
3768,learning,2,3,furniture,393,images/table5.png,good,6,4,1,800,4,6,1,1
3768,learning,2,3,furniture,395,images/sofa3.png,neutral,0,-5,1,778,-5,1,0,0
3768,learning,2,3,furniture,397,images/table1.png,good,6,-1,0,851,0,1,0,1
3768,learning,2,3,furniture,399,images/table2.png,good,6,6,0,2330,0,3,1,0
3768,learning,2,3,furniture,401,images/sofa8.png,neutral,0,-8,0,1364,0,6,0,1
3768,learning,2,3,furniture,403,images/bed5.png,bad,-3,-4,escape,531,-5,1,0,0
3768,learning,2,3,furniture,405,images/bed1.png,bad,-3,-7,0,741,0,3,0,1
3768,learning,2,3,furniture,407,images/bed6.png,bad,-3,3,escape,2013,-5,6,1,0
3768,learning,1,4,pets,424,images/cat2.png,neutral,0,[1],1,1553,1,1,0,0
3768,learning,1,4,pets,426,images/rabbit2.png,good,6,6,0,799,0,1,1,0
3768,learning,1,4,pets,428,images/rabbit7.png,good,6,3,0,974,0,1,1,0
3768,learning,1,4,pets,430,images/rodent7.png,bad,-4,-3,0,804,0,1,0,1
3768,learning,1,4,pets,432,images/rodent7.png,bad,-4,-3,0,628,0,2,0,1
3768,learning,1,4,pets,434,images/rodent4.png,bad,-4,-4,0,827,0,1,0,1
3768,learning,1,4,pets,436,images/rabbit1.png,good,6,9,1,930,9,1,1,1
3768,learning,1,4,pets,438,images/cat7.png,neutral,0,-2,1,729,-2,1,0,0
3768,learning,1,4,pets,440,images/rabbit7.png,good,6,7,1,976,7,2,1,1
3768,learning,1,4,pets,442,images/cat5.png,neutral,0,[-1],1,774,-1,1,0,0
3768,learning,1,4,pets,444,images/rodent4.png,bad,-4,-6,0,813,0,2,0,1
3768,learning,1,4,pets,446,images/cat2.png,neutral,0,-2,1,884,-2,2,0,0
3768,learning,1,4,pets,448,images/rodent3.png,bad,-4,-5,0,906,0,1,0,1
3768,learning,1,4,pets,450,images/cat7.png,neutral,0,2,0,714,0,2,0,1
3768,learning,1,4,pets,452,images/rabbit1.png,good,6,6,1,769,6,2,1,1
3768,learning,1,4,pets,454,images/rabbit1.png,good,6,8,1,704,8,3,1,1
3768,learning,1,4,pets,456,images/cat2.png,neutral,0,1,1,921,1,3,0,0
3768,learning,1,4,pets,458,images/rodent7.png,bad,-4,-3,0,730,0,3,0,1
3768,learning,1,4,pets,460,images/cat7.png,neutral,0,2,0,842,0,3,0,1
3768,learning,1,4,pets,462,images/rabbit7.png,good,6,5,1,740,5,3,1,1
3768,learning,1,4,pets,464,images/rabbit1.png,good,6,4,1,803,4,4,1,1
3768,learning,1,4,pets,466,images/rodent4.png,bad,-4,-6,0,726,0,3,0,1
3768,learning,1,4,pets,468,images/rabbit8.png,good,6,4,1,773,4,1,1,1
3768,learning,1,4,pets,470,images/rabbit6.png,good,6,8,1,919,8,1,1,1
3768,learning,1,4,pets,472,images/rabbit7.png,good,6,6,1,600,6,4,1,1
3768,learning,1,4,pets,474,images/rodent4.png,bad,-4,-5,0,1048,0,4,0,1
3768,learning,1,4,pets,476,images/rodent7.png,bad,-4,-2,0,1481,0,4,0,1
3768,learning,1,4,pets,478,images/rodent7.png,bad,-4,-2,0,762,0,5,0,1
3768,learning,1,4,pets,480,images/rodent3.png,bad,-4,-3,0,923,0,2,0,1
3768,learning,1,4,pets,482,images/cat7.png,neutral,0,-1,0,843,0,4,0,1
3768,learning,1,4,pets,484,images/rodent7.png,bad,-4,-8,0,644,0,6,0,1
3768,learning,1,4,pets,486,images/cat2.png,neutral,0,3,1,1269,3,4,0,0
3768,learning,1,4,pets,488,images/cat7.png,neutral,0,-4,1,1653,-4,5,0,0
